epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,1196.83,0.69304,1.55293,0.00306,0.79069,0.96825,0.92198,0.76445,0.63623,1.48997,0.00288,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,1210.03,0.70785,1.54955,0.00299,0.7926,0.95238,0.92768,0.8007,0.52509,1.43874,0.00232,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,1223.43,0.80963,1.5231,0.00366,0.7926,0.95238,0.92768,0.8007,0.52509,1.43874,0.00232,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,1236.33,0.69838,1.48053,0.0032,0.79429,0.95238,0.93162,0.80195,0.56038,1.40396,0.0025,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,1249.67,0.68996,1.62854,0.00319,0.79429,0.95238,0.93162,0.80195,0.56038,1.40396,0.0025,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1263.6,0.5943,1.52408,0.00242,0.80526,0.91892,0.93603,0.78878,0.57071,1.42571,0.00255,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,1276.56,0.92018,1.61866,0.00387,0.80526,0.91892,0.93603,0.78878,0.57071,1.42571,0.00255,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,1289.83,0.80271,1.54775,0.00387,0.81221,0.89251,0.93659,0.78565,0.55976,1.412,0.00249,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,1303.26,0.72127,1.61872,0.00334,0.81221,0.89251,0.93659,0.78565,0.55976,1.412,0.00249,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,1316.83,0.69671,1.53824,0.00312,0.8255,0.90109,0.93663,0.79822,0.56643,1.37191,0.00253,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,1331.08,0.70522,1.40584,0.00251,0.8255,0.90109,0.93663,0.79822,0.56643,1.37191,0.00253,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,1344.1,0.70707,1.50788,0.00335,0.81422,0.90476,0.93448,0.79816,0.54913,1.38129,0.00245,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,1357.26,0.73616,1.50637,0.00381,0.81422,0.90476,0.93448,0.79816,0.54913,1.38129,0.00245,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,1372.14,0.83376,1.63695,0.0037,0.82429,0.8936,0.93897,0.80019,0.55302,1.35414,0.00246,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,1385.7,0.79091,1.49832,0.004,0.82429,0.8936,0.93897,0.80019,0.55302,1.35414,0.00246,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,1399.49,0.60639,1.40054,0.00242,0.82476,0.89651,0.94073,0.79896,0.54985,1.34965,0.00245,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,1413.13,0.63637,1.44761,0.00262,0.82476,0.89651,0.94073,0.79896,0.54985,1.34965,0.00245,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
